0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	907.32	88.4	4.16	0.12	0	0	0	0	0	0	0	0	0	0	0	
2	820.52	162.6	16.04	0.84	0	0	0	0	0	0	0	0	0	0	0	
3	745.16	219.84	33	1.92	0.08	0	0	0	0	0	0	0	0	0	0	
4	678.04	263.56	53.56	4.6	0.2	0.04	0	0	0	0	0	0	0	0	0	
5	611.84	303.96	77.32	6.64	0.24	0	0	0	0	0	0	0	0	0	0	
6	561.56	328.6	99.8	9.52	0.52	0	0	0	0	0	0	0	0	0	0	
7	515.24	352.36	118.64	12.88	0.72	0.16	0	0	0	0	0	0	0	0	0	
8	468.68	369.4	142.12	18.44	1.2	0.16	0	0	0	0	0	0	0	0	0	
9	430.44	379.16	164	24.76	1.44	0.2	0	0	0	0	0	0	0	0	0	
10	396.04	384.84	190.4	26.64	1.68	0.36	0.04	0	0	0	0	0	0	0	0	
11	365.68	387.92	212.2	32.76	1.04	0.36	0.04	0	0	0	0	0	0	0	0	
12	335.68	392.6	232	37.48	1.72	0.44	0.08	0	0	0	0	0	0	0	0	
13	313.24	391.12	252.36	39.96	2.36	0.76	0.2	0	0	0	0	0	0	0	0	
14	286.4	400.48	266.32	42.32	3.28	0.96	0.24	0	0	0	0	0	0	0	0	
15	267.88	399.24	281.96	47.12	3.04	0.52	0.24	0	0	0	0	0	0	0	0	
16	243.28	401.2	297.64	51.72	4.56	0.92	0.6	0.08	0	0	0	0	0	0	0	
17	228.4	397.76	312.64	56.04	3.92	0.56	0.6	0.08	0	0	0	0	0	0	0	
18	209	399.12	330	56.32	4.6	0.52	0.28	0.16	0	0	0	0	0	0	0	
19	197.24	390.6	348.76	57.12	4.68	0.76	0.68	0.16	0	0	0	0	0	0	0	
20	188.16	387.36	356.12	60.24	5.64	1.32	1.04	0.12	0	0	0	0	0	0	0	
21	179.64	383.32	366.44	61.24	6.44	1.48	0.92	0.44	0.08	0	0	0	0	0	0	
22	162.68	374.44	386.16	66.84	6.8	1.68	0.68	0.72	0	0	0	0	0	0	0	
23	151.8	369.6	397.16	72.32	6.04	1.6	0.8	0.68	0	0	0	0	0	0	0	
24	139.64	361.28	413.12	75.04	7.16	1.48	0.96	1.12	0.16	0.04	0	0	0	0	0	
25	128.52	356.2	424.16	80.84	6.32	2.08	1.08	0.64	0.16	0	0	0	0	0	0	
26	118.92	347.72	439.44	81.28	6.96	2.68	1.84	0.88	0.28	0	0	0	0	0	0	
